My Echo Show is my Christmas gift to myself! So far I am having great fun with this nifty new addition to my Amazon family of home monitoring devices. I have connected the Show to my Ring doorbell..,Amazon Echo Show
Great and easy to set up. We have this in the hallway and the whole family uses it. Alexa is learning what our family likes each day.,Alexa
The device works well mechanically  however  the software needs a lot of work. Half of my commands are not understood and I have cameras linked up to it that 's rarely recognized..,Device 
Bought the Echo Show to add on all my smart wifi appliances  wifi video doorbell  smart TV & sound bar  wifi smart lights  wifi smart thermostat  wifi security camera system and so on...,Echo Show
The sales associate was knowledgeable enough to lead me in the right direction in purchasing this product that 's compatible with my mother 's Arlo Security cameras. It works great!..,Arlo Security Cameras
The Echo show screen is great  it is helpful with recipes  music etc. I use it to listen to music all the time. I am hoping someone in my family gets one soon so we can face time each other.,Echo Show
Too many great things to say about the echo show! I have had an echo dot for a while but the new echo who adds video. I literally use it everyday multiple times a day. Great product Amazon!.,Echo Show
Not only does it round out my collection of Alexa devices  I have two echos and one dot  it also works well with the Ring 2 Video Door Bell I can see who is at my front door without opening it...,Unknown    
I feel the audio on the show is the best when compared to the echo  echo 2.0  and obviously dot. Nice to have next to bed instead of a dot and an alarm clock.,Echo  Echo 2.0  Dot
We purchased the Echo Show for Christmas this year  and love it so much! Our kids got the hang of it faster than we did (ages 11 and 13)! Highly Recommend!...,Unknown    
We have echos throughout the whole house and have this in the kitchen. Controls lights   you can FaceTime   my wife uses it for recipes and it shows the videos of directions..,Echo
Needs to be a stand alone device. I should have not required to use a tablet of Cell phone to make it work. Amazon needs to work on the technology on device.,Amazon device 
Love our Echo show. A few enhancements we 'd like to see in future such as ability to load multiple pictures instead of single photo. Can use Amazon photo but we do not prescribe.,Echo Show
I got this for a really good price. I already had the Echo Dot that I was kind of unimpressed with. I love the echo show.,Echo Show
Life amped! The features of this device have added a new dimension to our everyday routines. Pertinent and usable information by just simply asking. Superb product.,Device
I am so happy with this product. It is so helpful to use st any time of the day. I.,Unknown    
You will be amazed how this works for many questions you ask and Alexa has the answer. However do not expect her to know everything. You will be happy with this purchase.,Unknown    
Between this product and Siri  AlexaIs much more useful and reliable. It controls many things in my home and is very dependable. Only one problem.,Unknown    
We use it to talk to our granddaughter  play games  listen to music and check on the dog while we are at work! Awesome device! We already bought one for our kids also!...,Unknown    
Very impressed; set up a little confusing  but overall a good experience. Still learning. However  Best Buy emails give away any gift secrets !! Had to reset my account to a work email address.,Unknown    
Very similar to FaceTime on an Apple product.You can watch someone show you how to do something  like a project you are working on. Instead of listening  you can see it!.,Unknown    
It syncs with my Echo  displays slideshows  recipes  and lists  controls my Fire Stick  and sounds pretty good. It doesn't play You Tube videos but it does do a good job playing videos..,Echo/Fire Stick
I brought my tube amplifier to Best Buy and my Magnolia rep hooked it up to a pair of B&W 700 Series 2 speakers. WOW..,Tube amplifier and B&W 700 Series 2 speakers
I like it. Currently it is the only smart system with display. It makes it easier to talk to the device.,Unknown    
Very happy with adding Alexa to the kitchen! The Echo Show is great for looking up recipes  getting a weather and traffic up as I 'm getting my morning coffee or just listening to music!...,Echo Show
Makes things easy to do like listen to music  check the weather  hear the news etc. just make sure you say  Alexa   loans and clear. Sometimes it doesn 't hear you.,Alexa
The family and I love Alexa view and once we got it we were hooked now everything in the house and outside is run by voice commands. The opportunities with this are endless..,Alexa View
Amazon hit it out of the park with this one. I am able to connect this to NEST cams and Ring cams as well. Songs come with lyrics  sound and looks great.,Unknown    
I am so happy to have the Echo Show. I have been able to listen to Christmas songs and some country western music. It has so many other things to do with it that I can not wait to try some.,Echo Show
This Amazon Echo is very user friendly  and provides hours of entertainment  with anything from recipes  news  videos  and Amazon music with the lyrics is like having your own Karaoke...,Amazon Echo
Is better than face time when calling my kid  since they have one  I could call them from my and see them at the same time  perfect for cooking timer n best for music...,Unknown    
I have really enjoyed these products so much I actually bought 3 of them. Fun to watch and even better if you are an Amazon Prime customer for music and video..,Unknown    
We have the original Echo  two Echo Dots and the Echo Show to complete the family - love the ability to play videos and the lyrics display on Prime Music is awesome!...,Amazon Echo
I like the Echo Show. I can view my cams  watch a movie and read the news. The camera video is slightly delayed.,Echo Show
It's great! I love the hand free whatever you want. It plays videos on Amazon by just asking it to play. At work I can video call my girlfriend at home with the show as well.,Hand free whatever you want
Now I can view my front door Ring system as well as all my Arlo cameras. Great products. If you have Echo Spot in each bedroom  you can video talk with your kids by dropping in.,Ring System & Arlo Cameras
We're hoping the Echo show will allow us to elevate our experiences using the screen options for calling family & friends as well as reading recipes etc...,Echo Show
I use the echo show to stream music  video chat  and drop in as a camera from my home. You can even see recipes and other items. Worth the money  got it on sale! I always wait for sales.,Echo Show
I like the video feature for my doorbell. Wish it automatically showed a picture when door bell rung. Does not FaceTime.,Doorbell
I have the spot  dot and two shows  I started out with the spot and loved it so much I wanted a bigger one. This was a (Best Buy) ! No pun intended lol..,Unknown    
I 'm all about the smart home and I love my new echo show. I stay more connected with my family. I also love how it 's integrated with my Arlo  Ring  Nest  and Hue light bulbs.,Echo Show
I like the Echo Show. I can view my cams  watch a movie and read the news. The camera video is slightly delayed.,Echo Show
This has been perfect for the kitchen  it plays music & I can sing along with the words on the screen. Love that Alexa also allows for multiple timer settings when cooking..,Unknown    
She knows all the answers. I 'm used to speaking to her  i recently visiting a friend and said   Alexa   . And my friend looked at me like I was crazy.,Alexa
Needs to be a stand alone device. I should have not required to use a tablet of Cell phone to make it work. Amazon needs to work on the technology on device.,Device
The Echo show screen is great  it is helpful with recipes  music etc. I use it to listen to music all the time. I am hoping someone in my family gets one soon so we can face time each other.,Echo Show
I have really enjoyed these products so much I actually bought 3 of them. Fun to watch and even better if you are an Amazon Prime customer for music and video..,Unknown    
I am so happy to have the Echo Show. I have been able to listen to Christmas songs and some country western music. It has so many other things to do with it that I can not wait to try some.,Echo Show
The sales associate was knowledgeable enough to lead me in the right direction in purchasing this product that 's compatible with my mother 's Arlo Security cameras. It works great!..,Arlo Security Cameras
The Show sounds significantly better than the echo plus. And the added screen features are nice. I just wish the   things to try section   would go away.,Show
This Amazon Echo is very user friendly  and provides hours of entertainment  with anything from recipes  news  videos  and Amazon music with the lyrics is like having your own Karaoke...,Amazon Echo
So great to instantly see family members to chat  demonstrate  check-in...,Video Conferencing
This is our second Show. And  one of several Christmas gifts. These are convenient and fun! Easy to set up.,Show 
We purchased the Amazon - Echo Show with Alexa in store. Took it home and after connection wi-fi it was great. we cannot wait to buy light bulbs and a thermostat.,Amazon - Echo Show with Alexa
The screen is a great upgrade. Music lyrics are displayed with good quality speakers. Very convenient for recipes and you can make hands free calls with great audio quality.,Unknown    
I bought the white version and have it in the kitchen. I use it for EVERYTHING  music  video  phone  security cams  news  weather. It's the perfect kitchen assistant.,Unknown    
This device is especially useful if you know others who own it. It offers the same features as the standard Echo  along with an expanded feature set as well..,Echo
This one is the best...,Unknown    
Love the convenience of being able to turn on a light or other appliances connected to smart switches with voice commands. Also very convenient music streaming  news and weather reports..,Smart Switches
Really enjoying this device so far   my smart phone is basic Tracfone...,Smart Phone
I will definitely recommend this product . The tech support is also easy and friendly. Alexa keeps my husband company during the day answering his questions.,Unknown    
I have enjoyed learning about home automation using Echo plus and consumers need to know that this comes with having to buy additional equipment to get the most out of Alexa...,Echo Plus 
I have two dots and this and the functionality between them is awesome. I can 't wait to see how it improves through time. Great quality speaker and build.,Speaker
We have several  this one was a Christmas gift for our daughter. We love the convenience of creating lists and some home automation. Once you get started  you come up with more things to use it for.,Home Automation
"Decided to go for the model just below this one. I didn't need the integrated ""hub"" features. (Phillips Hue does require this  but I decided to stick with my current Insteon hub).",Phillips Hue
I have an Echo that I bought from Best Buy several months ago. So when it came to buying one for my son & his family for Christmas I knew where to come. It 's an excellent information hub!.,Echo 
This is my first Amazon Echo and it was a great buy. The Echo Plus works amazing. The voice control of the lights in my house works perfect.,Amazon Echo Plus
Very pleased to have this new Echo Plus and get started on automation of the home in stages. Knowing that it can continue to improve with new products and apps is a plus for owning this device..,Echo Plus
I had my doubts when I first purchased it. But after just a day I had synced it with my thermostat  lights  TV  Bose sound system  and many more. Amazing product.,Unknown
Great device  but I noticed based on the WiFi connection that Alexa can react slower at times. Especially when asking the device to turn off bulbs  or any smart devices..,Device
It's nice to be able to listen to music in the morning and setting reminders is extremely helpful and I love being able to operate my light bulb remotely...,Unknown    
Love  love  love my echo plus! Is great that it has a built in bridge...,Echo Plus
Salesman told me the big one was better so I bought it. My daughter gave me the small one for Christmas. Does the same thing.,Unknown
Gave it as a gift to provide a sense of safety and security for someone living in the country. Turning the lights on before entering the house is a big deal when you live alone..,Unknown    
It has very good voice recognition; even with the grandchildren throwing all kinds of crazy questions at it. Speaker quality is top of the line. Everyone that has tried it out at our house loves it.,Unknown    
This Alex's device is fantastic and would recommend it for anyone. Especially for people with physical disabilities. We are enjoying all of its features.,Alex's device
My DIL loves it. Does everything she had read about. My grandson is a bit disappointed that Alexa can't carry on a conversation.,Alexa
I bought this for my brother and his wife. They love it! Not only does it control their Nest thermostat  it works with their expanding environment of Philips Hue bulbs..,Nest Thermostat
This is our first Echo so nothing to compare it to  but so far so good! Sound is great. Fun to use and has been helpful for information needed quickly!..,Echo
The built in hue allows the echo plus to automatically search and finds connectable devices. The larger speaker area assists in better sound and the alexa to hear my voice!!..,Echo Plus 
Bought an echo plus and it has been better than I expected. Primarily use it for music in the LR but we are starting to use it for other functions such as the weather and playing jeopardy..,Echo Plus
Love the echo plus. Easy to set up with comparable extras  has simplified so many things in my home. Takes some getting to use to but patience and practice and males all the difference.,Echo Plus
My wife and I love the Amazon echo plus it 's very easy to control the hue lights in the house that we have set up I would recommend this to anybody we love it. We also play a lot of music on it..,Amazon Echo Plus
I was really reluctant buying Alexa but I 've read so much about this item that I bought the package (Alexa and Phillips bulb) and have been amazed with how well it works...,Alexa and Phillips bulb
The system is able to react quickly to the verbal directions. It even is able to pickup voices across the room and seems to capture the commands accurately even when spoken quickly..,Unknown    
Bought for my husband for Christmas. We keep it in our kitchen and mainly just use it for music. But our kids love that they can tell Alexa to play a song they like and it plays.,Unknown    
Got this model only because of the sale price and the built in hub that controls my hue strip lights. And..,Unknown    
Echo Plus has everything the old Echo had  plus better sound and built-in capability for Smart Home add-ons  like Hue bulbs and SmartThings plugs   without needing a Hue hub or ST hub. Love it!..,Echo Plus
Worked fine first time out of the box. Plug it in  set it up with you Amazon account and you are ready to go. It is very convenient to turn on and off the Phillips light by voice.,Phillips Light 
This works perfectly for the smart home connecting to all your devices. Coupled with Amazon prime this has it all. Voice speaker clearly understands you from up close and from across the house.,Unknown    
A fun little device on the cutting edge of consumer artificial intelligence. Sp aker sounds pretty good. Alexa does have some problems understanding how I ask questions a fair amount of the time.,Unknown    
ECHO PLUS OFFERS SO MUCH MORE FOR THE SMART HOME.  HOWEVER  I HAVE HAD THE DOT FOR A LONG TIME AND YESTERDAY I BOUGHT 5 ECHO DOTS FOR MY CHILDREN .GREAT PRODUCT.,Echo Plus
I was a bit reluctant to jump on the Alexa wagon  but now that I have  I don 't know why! This is awesome. Still figuring out all the things I can do but only because there are so many!..,Alexa
I purchase the Echo Plus as a Christmas gift but set it up early so that it could be used right out of the box. I was impressed how easy the setup was. I'll find out later how it sounds and works.,Echo Plus
Very pleased. Based upon reviews I did expect the speaker to be louder and have a bit better sound but not a big deal. For big sound just turn on the stereo.,Speaker
This is the first Echo that we have used and really like it. It is easy to set up according to my husband. There are things that we would like to do but don't have instructions on how to do them.,Echo
When I tried to hook it up it wouldn't recognize my internet. I will have to contact best buy when I get home and have their guys come out to see if they can get it working..,Unknown 
Surprisingly entertaining  and a diverse selection of apps make for a fun addition to the house. Adding lights and enabled plugs adds to the fun and practicality as well..,Unknown    
Purchased the Echo Plus because of the built in Zigbee hub. It controls my Philips Hue bulbs throughout the house. very easy setup.,Echo Plus
Eco plus is an amazing product  it integrates with most of the products...,Eco Plus 
You simply must have a virtual voice activated assistant. I can not recommend this product enough. If you don 't have one  you will eventually.,Virtual Voice Activated Assistant 
I love my amazon echo plus as bad as it sounds I don 't have to get out of bed to turn the lights off  my fans on or off  and even my tv. We love alexa!..,Amazon Echo Plus
As I made my home a smart home I know I know I made a smart choice with Amazon Echo and Philips light bulbs. I'm looking forward to adding more smart gadgets to my collection..,Amazon Echo and Philips Light Bulbs
The sound of the Echo Plus is good  and the matte black color looks stylish. The Phillips Hugh Bulb that was included with my purchase is nice and convenient..,Unknown    
My husband loves the ability to listen to anything and to be able to run the living room light when he comes in instead of trying to find the light switch...,Unknown    
As advertised. Easy set up and integration. Haven't tried to use the hub yet but it is limited in the number of products it works with compared to Samsung Smartthing or Wink 2.,Hub
I 'm a big Apple consumer all around but after tons of research and testing  I went to alexa over Siri (Apple home kit) to make my full home a smart house...,Apple Home Kit
Love that I can control my lights with the Phillips bulbs and is compatible with smart plugs to control other electronics in the house. Definitely would recommend..,Phillips Bulbs 
I was reluctant to purchase the Echo Plus and my best friend said to do it  you will love it! I did and she was so right! The Philips Hue light bulb was an added bonus and love that too!...,Echo Plus and Philips Hue light bulb
Product works well  and is fun to use. I did a fair amount of research trying to decide between this product and Google's  and the reviews tend to favor the Echo. I have no complaints.,Echo 
This purchase is replacing an echo for that is being moved to a bedroom. The sound is far superior to the dot (which has decent sound). The echos just keep getting better and more useful.,Echo
The whole family uses the ECHO we love the ability to use just say Alexa and tell here what we want. The youngest granddaughter loves the insult generator!..,Echo 
Already have the echo and dot. Has good sound quality and with the hub feature you can control the hue lights with Alexa which is convenient when walking in the house with a bunch of groceries..,Echo and Dot
Amazon and Philips Hue work great together. very easy setup. The only drawback is using these bulbs on a non-Philips dimmer switch.,Philips Hue 
Love this thing ! I have linked it to my Hue System and my Fire TV. I ask her and she does it. Fun to play games also.,Unknown    
This was purchased as a Christmas gift for my wife so I haven't used it yet. We do have several echo dots and we love those. With it coming with hue light bulb that's an added bonus.,Echo Dot with Hue Light Bulb
We had heard a lot about the Echo Plus and had seen the commercials. We have not been disappointed as Alexa is a welcomed family member already !!! We Love Her !!!..,Echo Plus 
It works pretty well. I wish there's was an instruction book with it instead of having to go online. Plus I didn't know you had to pay for music and it doesn't listen very well like it said it would.,Unknown
I love being able to turn my lights on or off by voice. It makes life a lot easier. I am looking forward to finish making my home a smart home by buying other products.,Smart Home Products 
Solid Amazon Echo  love they have added Phillips Hub into the product so you do not need a hub. Voice response is a little touchy compared to other Echos..,Amazon Echo
Great gifts! I have the Alexa dot in each room now this is better  with the speaker base  ask Alexa to play music  find me recipes  read the news. Got this & few other dot devices to give for Xmas..,Alexa Dot
i have really enjoyed learning about the product and its many uses. i thought initially music  but now to get weather updates  news  receipies  sports scores  and ordering kitchen supplies..,Product
This smart bulb works with Amazon echo Plus. It can be turned on and off and also dimmed. The echo Plus is amazing - can play music  control TV and answer many questions.,Smart Bulb
The Echo Plus is great.   Alexa   is the best feature. The only problem is  you can 't use it wirelessly.,Echo Plus
"HUB is almost useless. Ended up using spare Philips HUB. The HUB built in would only ""discover"" 2 out of 12 bulbs.",HUB 
Exchanged the google Google home for this model. Fun for the kids. Finding new uses for it every day.,Google Home
My first Alexa product and I 'm going to say I 've had her for about a month and I love it have it hooked up with my Phillips hue lights works awesome...,Alexa 
I love the Alexa. It has encouraged me to automate my home. Now I have lighting that comes on when I ask  My heat is controlled wherever I am and it's fun asking her (Alexa) questions.,Alexa
I needed a second charger (for traveling) for my Kindle Fire that was a fast charger. This worked great. It charges my Kindle fire in just a few hours.,Kindle Fire charger
I was looking everywhere for this because I lost my charger for my fire stick and i finally found it at best buy. It was a great price and works perfectly!..,Fire Stick Charger 
Love this base for charging my kindle. You still need to use a good cord for most effective charge. With a good cord and this base your kindle will charge in under 30 minutes.,Kindle Charging Base 
Bought this for my six year old grandson. The set up was very easy. He is able to download kids only stuff and can send us videos of himself using the app.,Unknown    
Got this for my 18 month old son so that he can watch movies on our trip to LA and he loved it. Lots of games  apps and much more. Still learning more features about this product and we love it too.,Unknown    
I prefer the Kindle to a book. I like the change of letter size  storing many  many books  and the ease of carrying it. I love to read when I travel  and this is the way to go.,Kindle
My 2 yr old loves it!!! We got it in pink. Love that you can put restrictions on it  as well as a timer so that theyre not on it too long. The games and books are awesome.,Unknown    
Kindle products are fantastic. I've used a kindle & now have a Kindle fire. Use it everyday  so naturally  I would select a Kindle for my granddaughter.,Kindle
Great tablet for my 4 and 8 year old...,Unknown    
You can't do better for$60. My only concerns is the battery life could be a bit better and it has a cheap plastic feel to it. Great for light browsing and Kindle reading though.,Unknown    
My daughter loves that it is pink and she enjoys watching videos/playing on the tablet  which is what really matters. Sufficient and cheaper alternative to the more expensive tablet alternatives..,Tablet
Easy to use. A useful source for kids activity while on the road load up movies books and games! Cheap product but great use good education for ur kids too..,Unknown    
Love my new Kindle fire. This replaces my old one and is just as good. Videos are as good as my tv with cable.,Kindle Fire
I wanted something small to read books on on the go. This fit the bill perfectly! Not to big and not to small. It does more things than I was expecting!.,Unknown    
We love this table for our 5 y.o. It gives him the sense of independence he wants and me the sense of calmness knowing I can control what he gets on and how long he can spend in screen time!.,Table 
We bought this for our 2 yr old granddaughter and she loves it! It has so many apps and videos for her to watch. I would definitely recommend this to anyone who is looking for a tablet for a child..,Tablet 
Highly impressed with my purchase. Allows me to use my iPad again since my 3 years old granddaughter finally has her own tablet. Great support and numerous educational apps for children!.,Tablet
it works great it is handy to use to look stuff up fast and has some great features.i added a memory card to add movies and it works great for that at a great price..,Unknown    
I like the tablet; however  there are occasions when it does not boot up when it is turned on. I probably need to take it into the store so that a determination can be made and it can be fixed..,Tablet
The kindle has come in very handy lately  I always have a book to read and this is great to just grab on the go. Battery life is great  only drawback is no backlight..,Kindle 
It's a good tablet for kids the only thing I really don't like is the fact that you need to put in a credit card to be able to get apps but other than that is ok...,Tablet
Great for small children allows for limited time setting. Also allows parents to set a requirement for how long educational apps must be used before free time. Case works well.,Parental control app 
Gift for my great nephew and he really loves it. He loves it so much that Mom has to limit amount of time he allowed to play with it because he would play it 24/7..,Unknown    
I personally like the old shape ( more square ) of the kindle better. I use to have a 8 inch and loved it until my grandkids dropped it and now it doesn't work any more..,Kindle
This is really good if you read a lot  doesn't strain your eyes and very light weight. Only demerit is - cant use in night if there is not enough light..,Unknown    
This tablet is a nice budget friendly device that is also rugged. It has survived countless falls from my 3 yr old. He loves it and it keeps him learning for hours.,Tablet
bought for grand kids front camera rear camera wifi ready games they caN SKYPE SO MANY THINGS you can use it for 2 YEAR NO QUETION WARENTY its your best buy...,Unknown    
This is the right device to play with puzzles  you can avoid samsung/verizon constant advertisements. Only wish the battery would last longer or charge faster..,Device 
Bought this for a 2 year old. She loves it! She's already got more things figured out on it than I do!. Good educational programs and some fun ones too!.,Unknown    
This is a great product at a great price I would definitely recommend this to anybody especially good for college students or people that read books etc...,Unknown    
Many features packed into a low price. Good as an ereader or light tablet uses to surf internet  email and games. Easy to use.,Unknown    
This was purchased as a replacement for one that was dropped one to many times. Hope this one lasts as long and stands up to the abuse the first one endured..,Unknown    
Wanted a tablet but did not want to pay for an iPad. The fire is a great tablet with a crystal clear hd videos. The perfect inexpensive alternative to the iPad.,Fire Tablet 
We love this table for our 5 y.o. It gives him the sense of independence he wants and me the sense of calmness knowing I can control what he gets on and how long he can spend in screen time!.,Table
Love this Kindle. There are to many apps and games offered for download. Love the book selection Easy to navigate The charger seems a bit loose  though.,Kindle
"I am an ""old"" traditionalist and have always read from paper or hard back books. Now I don't lose what page I was on and have more shelf space where books used to be..",E-reader 
My husband and I purchased 3 of these for each of our kiddos and to say they're a hit would be a massive understatement. And the parental controls on these are awesome. We love our new Fires!!.,Amazon Fire
I would recommend this to all of our friends and family. It's worth every penny. Good warranty  comes with a free subscription  works quickly and is very durable!.,Unknown    
Good features and quality. Would be nice if it worked better in low light. Should have stepped up for the backlit one.,Unknown    
Bought this tablet for my 2 &1/2 year old and it is perfect. Games and videos that come on it are very age appropriate and the tablet has been very durable thus far..,Tablet
This was my second kindle and I didn't realize that it wasn't paper white . What a difference. I took this back to the store and exchanged for paper white.,Kindle 
Wanted something with a kids mode on it so we could limit time and content. This works. Saw it for a really low price so couldn't resist otherwise we would have gotten the padded kids version.,Unknown    
I prefer the Kindle to a book. I like the change of letter size  storing many  many books  and the ease of carrying it. I love to read when I travel  and this is the way to go.,Kindle 
No suprises here. I have owned the 7th generation Kindle before and the 8th generation came as a lighter and better upgrade to the version. Great functionality and awesome reading experience.,Kindle 8th Generation
I mainly bought this so my daughter and I could skype daily  but the free time by amazon has proven to be very helpful for kids. The big foam cover is awesome if you have a destructive kid..,Unknown    
I got the first version for my sister and she hasn't been able to put it down on over a year. Then I got her this one and forget about it. Great new features  she loves loves loves it!.,First Version 
It's nice but not as easy to switch profiles as I would like for it being a child's tablet. But overall easy to use just a lot of junk on main profile..,Child's Tablet
I bought two of these for my two grandchildren. (A 4 year old boy and a 2 year old girl) So  I bought one in pink and one in blue. We down loaded age appropriate games and they are lifesavers!.,Age appropriate games
My nephew always uses my sister's iphone when watching videos. He loves his youtube videos lol. So I went out and bought him this.,iPhone
I was a slightly skeptical about giving this to my 1 year old but it has been a fantastic  durable learning tool for him and he is progressing very quick...,Learning Tool 
Purchased for an3 year old that wanted this badly. Appears to be rugged. Links up with my amazon account for content and access.,Unknown    
